name,id,artists,genres,explicit,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Give Me Dat,42i396f8Oen7VVyA7ujBMi,['Monsta X'],"{'k-pop boy group', 'k-pop'}",False,2019-02-18,41,0.701,0.88,0,-3.376,1,0.0942,0.0367,0.0,0.32,0.401,103.989,205430
Shall we?,1afMrs1HEsNDm11GRrLeoW,['CHEN'],"{'korean pop', 'k-pop'}",False,2019-10-01,55,0.572,0.401,4,-6.067,1,0.0255,0.543,0.000134,0.117,0.206,139.769,221015
"Daredevil (Feat. Jvcki Wai, YUMDDA)",4hqlf0C2fcxPbzZSZNVgVw,"['ZICO', 'Jvcki Wai', 'YUMDDA']","{'korean pop', 'k-rap', 'korean r&b', 'k-pop'}",False,2019-09-30,45,0.868,0.789,0,-3.534,1,0.0801,0.149,0.0,0.108,0.699,117.043,252360
Chicken Noodle Soup (feat. Becky G),6wyr4ReB05D9sJB1Rsmcqo,"['j-hope', 'Becky G']","{'latin', 'k-rap', 'latin pop', 'reggaeton', 'post-teen pop', 'latin viral pop', 'dance pop', 'rap latina', 'k-pop'}",False,2019-09-27,73,0.826,0.817,2,-4.081,1,0.0921,0.00502,1.09e-05,0.294,0.168,97.053,235497
WE ARE LEGENDARY,6Td37Nc2Dk4Ntmxmv6NVTx,['SONAMOO'],"{'k-pop girl group', 'k-pop'}",False,2019-09-26,36,0.62,0.94,4,-2.176,0,0.0644,0.0158,0.0,0.31,0.697,128.008,209680
Feel Special,2HtcPHFdo7eu4Ilbvb0BVI,['TWICE'],"{'k-pop girl group', 'k-pop'}",False,2019-09-23,77,0.709,0.959,1,-1.339,1,0.0603,0.0296,0.00188,0.107,0.644,128.983,206867
Dumb Litty,00emjlCv9azBN0fzuuyLqy,['KARD'],{'k-pop'},False,2019-09-22,62,0.76,0.887,9,-1.993,1,0.0409,0.037,0.0,0.138,0.24,130.018,193160
OOMM (Out of My Mind),65gzcr0GjgVInjECujSpPm,['3YE'],"{'k-pop girl group', 'k-pop'}",False,2019-09-17,48,0.717,0.88,2,-3.211,1,0.0914,0.0533,1.15e-05,0.104,0.399,150.063,200947
Total Eclipse (Black Out),56ze1yziKclD5iaYlhYysx,['GWSN'],{'k-pop'},False,2019-07-23,38,0.734,0.869,1,-3.236,0,0.198,0.135,0.0,0.191,0.824,123.831,188367
Workaholic,2WVpI9Og8Z7p8CGQK9CNX3,['BOL4'],"{'korean pop', 'k-pop'}",False,2019-09-10,56,0.727,0.761,11,-3.008,0,0.0549,0.352,0.0,0.644,0.665,108.027,191080
Breaking Out,1xIAcP1NLPMpZaDfXTiWMs,['DREAMCATCHER'],"{'k-pop girl group', 'k-pop'}",False,2019-09-10,48,0.741,0.747,10,-4.835,0,0.0418,0.0241,3.09e-06,0.111,0.421,110.024,199120
Pinky Love,6PCrvqMpMlyIMhtmofJRSB,['MOMOLAND'],"{'k-pop girl group', 'k-pop'}",False,2020-06-11,38,0.685,0.831,6,-4.459,1,0.0674,0.0537,7.32e-05,0.146,0.681,170.002,188840
"1분 1초 One Minute One Second, A Little Memory (feat. 타루 Taru)",0OVzTNggAu9chKnBlyDm44,"['Epik High', '타루 Taru']","{'korean pop', 'k-rap', 'k-indie', 'k-pop'}",False,2009-07-22,23,0.682,0.498,7,-8.913,1,0.0352,0.258,0.0,0.0861,0.658,155.089,226667
STILL NIRVANA,4Lf7m1yV76aMcKk5wnoOCO,"['RAVI', 'HAON', 'Xydo']","{'k-rap', 'korean r&b', 'k-pop'}",False,2019-08-29,30,0.814,0.957,8,-2.151,1,0.0814,0.283,0.0,0.203,0.946,137.984,213960
Regulus,299CpDyNkUS3aFAZCr0c9A,['ONEWE'],"{'k-pop boy group', 'k-pop'}",False,2019-08-29,47,0.615,0.674,11,-4.589,1,0.0335,0.546,0.0,0.182,0.477,140.011,222707
NAPPA 나빠,6uinpqa2nfwWmlj0lOgAf0,['Crush'],"{'korean r&b', 'k-pop'}",False,2019-08-28,55,0.562,0.54,8,-7.94,1,0.281,0.391,0.0,0.173,0.554,161.873,194040
T.O.P. (Twinkling of paradise),3b0Bt0CBAEesLLO0CifT5r,['SHINHWA'],"{'k-pop boy group', 'k-pop'}",False,1999-10-01,37,0.638,0.781,7,-6.364,1,0.0519,0.0334,0.000351,0.085,0.813,87.994,281760
LALALAY 날라리,6sWd8ZAH5bWWyjwb7ZV2Zb,['SUNMI'],{'k-pop'},False,2019-08-27,66,0.7,0.806,11,-4.818,0,0.0491,0.00132,0.0,0.0579,0.616,110.016,174880
Stay Beautiful,1uvhaF0YquxqSNbcFVElOj,['Jamie'],{'k-pop'},False,2019-08-26,60,0.489,0.579,9,-4.054,0,0.0466,0.628,0.0,0.263,0.476,94.19,166053
Give me more (Un Poco Mas) (feat. De La Ghetto & Play-N-Skillz),15xygfce56PeXzL34nI0YW,"['VAV', 'De La Ghetto', 'Play-N-Skillz']","{'latin', 'tropical', 'reggaeton', 'pop rap', 'latin hip hop', 'chicano rap', 'k-pop boy group', 'trap latino', 'reggaeton flow', 'k-pop'}",False,2019-07-23,46,0.72,0.82,2,-3.325,0,0.0403,0.0489,0.0,0.0743,0.559,100.031,234640
Your Gravity,1LOoxeIqzQqLZZq2YAHeIh,['UP10TION'],"{'k-pop boy group', 'k-pop'}",False,2019-08-22,38,0.64,0.94,7,-3.25,1,0.0543,0.00365,0.0,0.444,0.419,127.988,192760
D.D.D,4knqZHNHlEBBEmfETcpTyr,['THE BOYZ'],"{'k-pop boy group', 'k-pop'}",False,2019-08-19,55,0.695,0.921,3,-2.699,1,0.0848,0.0733,0.0,0.0789,0.642,119.971,212363
Umpah Umpah,5qSoW3ewNlhRN3FNZPmVns,['Red Velvet'],"{'k-pop girl group', 'k-pop'}",False,2019-08-20,58,0.693,0.935,7,-3.306,1,0.0771,0.0258,0.0,0.437,0.844,119.973,220131
WONDERLAND,6k67RdkVjTZj79c1cRz7IQ,['ATEEZ'],"{'k-pop boy group', 'k-pop'}",False,2019-10-08,70,0.572,0.964,4,-1.949,0,0.123,0.0503,0.0,0.372,0.519,129.979,199013
Tiki-Taka(99%),2gLAfzOB7angHctZ0IQAtu,['Weki Meki'],"{'k-pop girl group', 'k-pop'}",False,2019-08-08,52,0.735,0.928,1,-3.482,1,0.0907,0.403,0.0,0.0844,0.755,120.049,179764
BIM BAM BUM,7JfqtEztxAA11Q7O9N6ryT,['Rocket Punch'],"{'k-pop girl group', 'k-pop'}",False,2019-08-07,52,0.706,0.885,6,-3.051,0,0.0438,0.0634,7.18e-06,0.27,0.787,102.019,196307
BUNGEE (Fall in Love),0QQe9wGk7aZFa5gOAwAJ0w,['OH MY GIRL'],"{'k-pop girl group', 'k-pop'}",False,2019-08-05,50,0.68,0.934,5,-1.441,1,0.117,0.272,0.0,0.0737,0.74,127.974,177400
Magnetic Moon,3TeIx1jDxtJJGxDkJ6FuSi,['Tiffany Young'],"{'korean r&b', 'k-pop'}",False,2019-08-02,50,0.628,0.536,8,-6.718,0,0.0301,0.0527,0.000148,0.0961,0.428,127.97,194237
Tag Tag Tag,6HMR9w1ORta3CXI9r4ptpE,['VERIVERY'],"{'k-pop boy group', 'k-pop'}",False,2019-07-31,44,0.74,0.923,2,-1.842,1,0.176,0.114,0.0,0.65,0.563,109.014,185040
SHA LA LA - Japanese ver.,57Bgy1jxLI9ktAJX8k03w5,['PENTAGON'],"{'k-pop boy group', 'k-pop'}",False,2019-08-21,30,0.678,0.905,9,-3.098,0,0.0771,0.00317,0.0,0.358,0.516,126.042,194920
What are you up to,0y2tNViyMIGWO0vhNVQaj7,['KANG DANIEL'],{'k-pop'},False,2019-07-25,52,0.726,0.668,0,-3.436,1,0.389,0.336,0.0,0.0872,0.873,159.952,182773
Gleam,4dOrfL6qgxnjCMSmkekFhB,['MAMAMOO'],"{'k-pop girl group', 'k-pop'}",False,2019-07-24,59,0.772,0.782,1,-3.84,1,0.14,0.106,0.0,0.0769,0.651,117.957,184360
RED-SUN (021),5aa3xveqpPw5HWdnwZ92G2,['GWSN'],{'k-pop'},False,2019-07-23,47,0.754,0.873,4,-3.92,0,0.159,0.034,0.0,0.502,0.708,128.072,189276
Movie Star,65pVi11JqwSZqUuYAqLP36,['CIX'],{'k-pop'},False,2019-07-23,61,0.718,0.89,3,-3.798,0,0.0553,0.107,0.0,0.462,0.741,111.967,210507
Highway to Heaven - English Version,3WNuXdBxk8tQ2VI020dqvE,['NCT 127'],"{'k-pop boy group', 'k-pop'}",False,2019-07-18,63,0.676,0.74,6,-5.044,1,0.0494,0.00257,1.59e-05,0.0782,0.497,112.839,200573
ICE IN THE CUP,0DYV7ydWKgyyUHlnE8bPqu,['1TEAM'],"{'k-pop boy group', 'k-pop'}",False,2019-07-11,34,0.792,0.752,7,-4.937,1,0.108,0.0819,3.9e-06,0.0659,0.671,74.981,172252
What a life,3TfLZodlQ1TzNpdrc4KXR5,['EXO-SC'],"{'k-pop boy group', 'k-pop'}",False,2019-07-22,61,0.862,0.782,5,-3.811,0,0.125,0.301,0.0,0.143,0.847,135.029,203867
Badster,7sjzOysoro4EunDYC9M6Vx,['HYO'],{'k-pop'},False,2019-07-20,40,0.6,0.864,11,-6.732,0,0.0537,0.000924,0.0444,0.412,0.61,138.026,193438
Long Flight,4hHRHdPzKTpobGyyW9ipNg,['TAEYONG'],{'k-pop'},False,2019-07-18,62,0.688,0.861,5,-2.789,0,0.0455,0.203,1.47e-06,0.127,0.875,148.065,198293
Humph!,0m3W71Oliiv3gQWXi2YAmJ,['PENTAGON'],"{'k-pop boy group', 'k-pop'}",False,2019-07-17,59,0.791,0.674,2,-4.025,1,0.0516,0.168,0.0,0.0801,0.963,132.985,192613
X-Phenomenon,5ooX8h3Wv0va2pF7IAhJUs,['Monsta X'],"{'k-pop boy group', 'k-pop'}",False,2019-08-21,45,0.418,0.875,5,-3.405,0,0.195,0.111,0.0,0.065,0.642,127.986,177080
LATATA - Japanese ver.,2SZcEMawmu7BGQHllLKpkv,['(G)I-DLE'],"{'k-pop girl group', 'k-pop'}",False,2019-06-28,36,0.805,0.802,9,-4.223,0,0.17,0.00371,2.21e-06,0.24,0.54,98.073,202800
ROLLING ROLLING,3bicWU3Fr159CAtt6xGIPO,['1TEAM'],"{'k-pop boy group', 'k-pop'}",False,2019-07-11,37,0.679,0.709,9,-4.124,0,0.0381,0.0453,0.0,0.151,0.728,140.011,183984
UN Village,0WSTInLqMrT9po0LAHpZCJ,['BAEKHYUN'],{'k-pop'},False,2019-07-10,67,0.674,0.589,6,-3.806,0,0.112,0.267,0.0,0.312,0.577,83.985,235509
I'm So Pretty,0zxRDnBBMaqB5CaLzNj6zZ,['NATURE'],"{'k-pop girl group', 'k-pop'}",False,2019-07-10,42,0.661,0.962,7,-2.289,1,0.0951,0.0349,1.7e-05,0.223,0.94,160.039,210107
Room Shaker,4lt4QTuoYOEEOhrNDZJ1o8,['Ailee'],"{'korean pop', 'k-pop'}",False,2019-07-02,54,0.697,0.897,11,-3.628,0,0.136,0.0323,0.0,0.138,0.736,140.03,195027
TMT,2tZnDhLZoBE0ufusCEmhAL,['Stray Kids'],"{'k-pop boy group', 'k-pop'}",False,2019-06-19,52,0.798,0.852,2,-3.225,1,0.0593,0.055,0.0,0.0821,0.6,131.98,207383
Uh-Oh,1OBb2wZMXKNmtdyyejLIyL,['(G)I-DLE'],"{'k-pop girl group', 'k-pop'}",False,2019-06-26,67,0.781,0.814,11,-3.315,0,0.0648,0.0586,0.0,0.118,0.782,92.037,207600
Love Loop,63XFgN7jJH5RZW0zHy3i7h,['GOT7'],"{'k-pop boy group', 'k-pop'}",False,2019-07-31,51,0.577,0.695,8,-4.008,1,0.034,0.141,0.0,0.264,0.229,128.024,222453
Snapping,7JCi89HGiURxFpr6NITY7q,['CHUNG HA'],{'k-pop'},False,2019-06-24,69,0.751,0.726,8,-3.499,0,0.038,0.0706,3.42e-06,0.278,0.581,104.914,213164
WHO DO U LOVE? (feat. French Montana),4koDrJbYxIlcDY4gu2a4I8,"['Monsta X', 'French Montana']","{'hip hop', 'pop rap', 'trap', 'rap', 'k-pop boy group', 'k-pop', 'southern hip hop'}",False,2020-02-13,59,0.79,0.648,10,-5.622,0,0.247,0.288,0.0,0.117,0.397,101.989,189035
Zimzalabim,0GUbhhI5fRx7BlqlqlhjuB,['Red Velvet'],"{'k-pop girl group', 'k-pop'}",False,2019-06-19,64,0.68,0.878,5,-4.791,0,0.179,0.0028,2.22e-05,0.336,0.531,127.991,190860
Pink Magic,21uYcyeyfPIB0VNsbCKMgO,['YESUNG'],"{'korean pop', 'k-pop'}",False,2019-06-18,43,0.766,0.68,6,-4.059,1,0.0344,0.277,1.2e-06,0.128,0.736,118.024,194465
RPM,7b8ZfUQRsc5ebULhUgCyck,['SF9'],"{'k-pop boy group', 'k-pop'}",False,2019-06-17,53,0.534,0.786,3,-4.545,0,0.126,0.017,0.0,0.0664,0.379,169.962,201528
NABI,51bAYkcnw2WvMo4tps2txV,['BIBI'],"{'korean r&b', 'k-pop'}",False,2019-06-12,49,0.535,0.787,8,-4.193,0,0.112,0.735,2.41e-06,0.074,0.777,184.003,193430
SSFW - Japanese Version,3jwXD4Z5AUj3JEgsac9F1y,['CHANYEOL'],{'k-pop'},False,2019-04-25,35,0.582,0.666,8,-7.989,0,0.0374,0.35,0.0,0.172,0.769,79.992,219336
Alligator - Japanese ver.,2zqm1c3bRybNJi8HcN4tZE,['Monsta X'],"{'k-pop boy group', 'k-pop'}",False,2019-08-21,30,0.607,0.957,1,-3.241,1,0.0874,0.134,0.0,0.0882,0.677,97.993,193213
HAPPY HAPPY,1yPkYnRgZveWLCUSWX16ra,['TWICE'],"{'k-pop girl group', 'k-pop'}",False,2019-06-12,57,0.609,0.932,10,-1.562,1,0.145,0.173,0.000946,0.396,0.755,179.995,206974
Heart Sign (Prod. Flow Blow),3QEcvt2XnzF2lPohTh0bOr,['ONG SEONG WU'],{'k-pop'},False,2019-06-11,41,0.71,0.827,0,-4.09,1,0.0548,0.0456,0.0,0.101,0.715,122.99,215680
Nap of a star,6JxNli46YwzPdPiHnEQUeC,['TOMORROW X TOGETHER'],{'k-pop'},False,2019-03-04,61,0.626,0.451,7,-9.062,1,0.0259,0.407,1.12e-06,0.104,0.355,140.033,243013
Boogie Up,6u5ipVfAHGjTXvWuiI5sKB,['WJSN'],"{'k-pop girl group', 'k-pop'}",False,2019-06-04,51,0.692,0.946,7,-1.039,1,0.0587,0.0635,5.45e-05,0.186,0.535,129.079,183787
DMT (Do Ma Thing),1s1olni1LRN6fJ96GEO9qo,['3YE'],"{'k-pop girl group', 'k-pop'}",False,2020-06-29,42,0.712,0.919,1,-3.9,1,0.155,0.00115,0.0,0.505,0.557,108.03,175600
0&4,1eYoGuXoEozD8swYmoVhli,['ONEWE'],"{'k-pop boy group', 'k-pop'}",False,2019-05-13,34,0.755,0.744,2,-4.807,1,0.163,0.148,0.0,0.0974,0.764,89.987,210720
Dramatic,4fAUUc8y2ZQcwKLGHidZsa,['BVNDIT'],"{'k-pop girl group', 'k-pop'}",False,2019-05-15,49,0.719,0.884,5,-4.339,0,0.0473,0.0154,3.42e-06,0.413,0.728,99.98,205568
Ring on my Ears,35VL1v9FQZkp4vfsHCE6Xm,['ONEWE'],"{'k-pop boy group', 'k-pop'}",False,2019-05-13,36,0.494,0.704,8,-4.713,0,0.0441,0.0713,0.0,0.0655,0.365,149.917,225267
AH YEAH,2WDhYlm5gBepkMZHBk0LN7,['WINNER'],"{'k-pop boy group', 'k-pop'}",False,2019-05-15,56,0.797,0.722,7,-5.051,1,0.0388,0.356,0.0,0.177,0.878,128.01,176906
Picky Picky,2RwHcRK2KfIAUGNq4Nlfv5,['Weki Meki'],"{'k-pop girl group', 'k-pop'}",False,2019-05-14,57,0.773,0.849,0,-2.283,1,0.114,0.13,0.0,0.279,0.928,149.999,196947
Reminisce about All,0m2D3n9n1FxjkhkwojBM0I,['ONEWE'],"{'k-pop boy group', 'k-pop'}",False,2019-05-13,38,0.615,0.37,4,-7.728,1,0.026,0.754,2.26e-05,0.174,0.438,94.779,252813
The fifth season (SSFWL),5zypKmEPNSSfH4JTn9s68n,['OH MY GIRL'],"{'k-pop girl group', 'k-pop'}",False,2019-05-08,55,0.56,0.895,11,-2.795,0,0.0505,0.451,0.0,0.64,0.518,125.952,240387
Love Is Only You(MOMOLA),3EmZ8ZFtWaTsendAqKUKi9,"['MOMOLAND', 'ERIK']","{'v-pop', 'k-pop girl group', 'k-pop'}",False,2019-05-07,41,0.656,0.724,9,-4.283,1,0.0335,0.313,0.0,0.198,0.386,107.054,247387
4:44 (feat. WheeIn),6g5PvgGDtdkQG7Lgbm01ZQ,"['Park Bom', 'Whee In']","{'korean ost', 'k-pop'}",False,2019-05-02,44,0.298,0.738,0,-3.094,0,0.12,0.0677,0.000878,0.1,0.485,167.717,223619
If You Heard,7JOpfkXFyXz9LooCVNuXoE,['A.C.E'],"{'k-pop boy group', 'k-pop'}",False,2019-05-17,37,0.642,0.899,1,-3.936,0,0.0519,0.109,0.0,0.292,0.618,98.002,219497
BET BET,7bbt0ctE5rmFVPjdQuj8af,"[""NU'EST""]","{'korean pop', 'k-pop boy group', 'k-pop'}",False,2019-04-29,54,0.719,0.863,11,-4.955,0,0.0592,0.163,0.0,0.063,0.851,136.996,200947
Bloom Bloom,7tlGwysecWPnIwtt6Jq8cz,['THE BOYZ'],"{'k-pop boy group', 'k-pop'}",False,2019-04-29,55,0.694,0.771,5,-3.281,1,0.0415,0.127,0.0,0.132,0.727,124.023,224053
Cat & Dog,5cadLqAgl7Y9zX3lRWdsPK,['TOMORROW X TOGETHER'],{'k-pop'},False,2019-03-04,67,0.843,0.794,8,-3.013,1,0.147,0.0668,0.000223,0.104,0.319,160.001,187573
Spring Memories,6wiH22zuSkTsck7xjNuQsy,['N.Flying'],"{'k-pop boy group', 'k-rock', 'k-pop'}",False,2019-04-24,41,0.695,0.623,2,-4.249,1,0.0313,0.466,0.0,0.117,0.668,134.953,195277
Everybody Ready?,0vXzM7dzZgOJotqt4DlEjw,['Apink'],"{'k-pop girl group', 'k-pop'}",False,2020-04-13,29,0.698,0.976,0,-1.866,1,0.133,0.37,2.65e-06,0.94,0.56,123.99,201507
Chronosaurus,2bUNQdhILcUR9BxE42AIMk,['Stray Kids'],"{'k-pop boy group', 'k-pop'}",False,2019-03-25,54,0.501,0.875,2,-3.78,1,0.13,0.26,0.0,0.185,0.392,200.086,198672
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,"['BTS', 'Halsey']","{'electropop', 'post-teen pop', 'etherpop', 'k-pop boy group', 'dance pop', 'pop', 'k-pop', 'indie poptimism'}",False,2019-04-12,83,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773
Victory Song,6zvxOpyfvj2HH9iciFS0Px,['Stray Kids'],"{'k-pop boy group', 'k-pop'}",False,2019-03-25,59,0.757,0.734,7,-4.535,1,0.0783,0.00426,0.0,0.183,0.499,103.046,196384
Blue Orangeade,7C31PdvTuSvEFqn2sKISsX,['TOMORROW X TOGETHER'],{'k-pop'},False,2019-03-04,61,0.758,0.848,0,-3.601,1,0.0572,0.00611,0.0,0.143,0.42,111.015,185520
Kill This Love,18PergoIrGmRyeYxnaXJN2,['BLACKPINK'],"{'k-pop girl group', 'k-pop'}",False,2019-04-05,80,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,189052
BANANA CHACHA,5rEkbyBhnuVXLfe6yp8f3b,['MOMOLAND'],"{'k-pop girl group', 'k-pop'}",False,2019-04-03,51,0.856,0.946,0,-2.238,1,0.0958,0.11,8.98e-05,0.124,0.896,139.986,134101
Violeta,0ahbzg4GCq3wJzUM3cjS3N,['IZ*ONE'],"{'k-pop girl group', 'k-pop'}",False,2019-04-01,66,0.715,0.88,7,-2.94,1,0.0685,0.00373,0.0,0.104,0.669,115.012,200913
Cheers (ZZAN),3eAI3CXukjPxjXdzGMmeih,['GFRIEND'],"{'k-pop girl group', 'k-pop'}",False,2019-03-20,38,0.808,0.91,7,-1.975,1,0.0683,0.17,0.0,0.345,0.94,116.566,179367
Bomb Bomb,2U6RSyXFnDVNYoD9iUgi09,['KARD'],{'k-pop'},False,2019-03-27,64,0.76,0.842,6,-5.558,1,0.131,0.0677,0.000123,0.313,0.882,102.987,163509
SHA LA LA,3eOrrreH5zbp4xpfiFqy2D,['PENTAGON'],"{'k-pop boy group', 'k-pop'}",False,2019-03-27,53,0.675,0.935,7,-2.335,1,0.0627,0.0019,1.31e-06,0.341,0.451,126.083,194904
From Seoul,77J0atqdfc6NkcI1O2TJuV,['Block B - BASTARZ'],"{'k-pop boy group', 'k-pop'}",False,2019-03-28,32,0.743,0.853,2,-5.646,0,0.0795,0.0713,2.44e-06,0.36,0.505,101.967,226215
MIROH,4WuKHgxdCJsaOBIh7yndty,['Stray Kids'],"{'k-pop boy group', 'k-pop'}",False,2019-03-25,71,0.563,0.979,9,-3.104,1,0.104,0.00911,0.0,0.249,0.503,126.063,207617
Growing ~ for Groo,2fn4GHrjlqjICzxAu1RSDR,['GWSN'],{'k-pop'},False,2019-03-13,31,0.688,0.734,6,-3.854,0,0.0679,0.213,0.0,0.0298,0.488,105.137,187315
WOOWA,4ZoiC0UbYxpqKr9Ceh5mZa,['DIA'],"{'k-pop girl group', 'k-pop'}",False,2019-03-19,49,0.67,0.92,11,-2.765,0,0.043,0.00752,0.000598,0.296,0.71,127.01,211760
Wakey-Wakey,147lM5htxXyaYuwDM1j3zl,['NCT 127'],"{'k-pop boy group', 'k-pop'}",False,2019-04-17,53,0.71,0.743,10,-4.877,0,0.0493,0.0539,0.0,0.297,0.629,140.057,182386
Bon Bon Chocolat,06Pvy98db25O7wlfFFFIRM,['EVERGLOW'],"{'k-pop girl group', 'k-pop'}",False,2019-03-18,69,0.719,0.828,6,-5.559,1,0.0613,0.0343,0.0,0.0747,0.634,139.927,228682
Thrilla Killa,0Wau0A9ZxeP8d7NECL43Bk,['VAV'],"{'k-pop boy group', 'k-pop'}",False,2019-03-19,47,0.694,0.747,3,-9.197,0,0.0518,0.0039,0.0,0.0621,0.813,105.982,229953
gogobebe,6E7jAJN2e3znSHyPCdQqx8,['MAMAMOO'],"{'k-pop girl group', 'k-pop'}",False,2019-03-14,71,0.704,0.787,0,-3.114,1,0.082,0.114,0.0,0.228,0.707,96.929,195856
Pinky Star (RUN),6xCUp0rf0VBKjjgEYFip8v,['GWSN'],{'k-pop'},False,2019-03-13,46,0.758,0.913,6,-4.609,1,0.0957,0.129,3.51e-06,0.0574,0.617,129.964,202270
Piri ~ Fue wo Fuke ~ - Japanese Ver.,1bBSQHoeTAaaKGYHutEr60,['DREAMCATCHER'],"{'k-pop girl group', 'k-pop'}",False,2019-09-10,31,0.571,0.861,2,-2.808,0,0.0457,0.174,0.0,0.601,0.513,85.016,208267
Enough - Japanese ver.,5ld4mjHGLWNLMTMqbcVc1P,['SF9'],"{'k-pop boy group', 'k-pop'}",False,2019-03-20,26,0.62,0.697,3,-5.197,0,0.0535,0.0417,0.0,0.0854,0.62,152.01,180800
White Love,0OQasRxkPfUzBhkyu7q1xz,['Monsta X'],"{'k-pop boy group', 'k-pop'}",False,2016-10-04,42,0.526,0.725,4,-3.962,1,0.0358,0.135,0.0,0.257,0.381,90.081,230711
What You Waiting For,4CoxD8tetisleUQDA7vn1B,['SOMI'],{'k-pop'},False,2020-07-22,75,0.765,0.688,8,-5.072,1,0.0731,0.0164,0.0,0.112,0.794,121.901,175327
And there was no one left,584e17zySNmvOd1iG57zxF,['DREAMCATCHER'],"{'k-pop girl group', 'k-pop'}",False,2019-02-13,54,0.934,0.555,4,-6.158,0,0.0448,0.11,4.43e-06,0.0934,0.664,107.016,172558
Noir 누아르,4yJ6CHGtEjUnMsZ4IMqReH,['SUNMI'],{'k-pop'},False,2019-03-04,60,0.642,0.676,8,-4.771,0,0.0343,0.00389,0.0,0.0854,0.257,117.031,209679
Shoot Out - Japanese ver.,488ojabsrVJyHPJxhjTdPx,['Monsta X'],"{'k-pop boy group', 'k-pop'}",False,2019-08-21,30,0.562,0.921,6,-2.967,0,0.164,0.109,0.0,0.23,0.596,165.027,208813
CROWN,32h6yQGn4oAhZ0HRsTMX26,['TOMORROW X TOGETHER'],{'k-pop'},False,2019-03-04,70,0.622,0.8,5,-5.819,1,0.0425,0.0505,0.0,0.0619,0.58,110.977,230707
What You Waiting For,4CoxD8tetisleUQDA7vn1B,['SOMI'],{'k-pop'},False,2020-07-22,75,0.765,0.688,8,-5.072,1,0.0731,0.0164,0.0,0.112,0.794,121.901,175327
PIRI,6vHyPhg8fgclBiY8QN68wp,['DREAMCATCHER'],"{'k-pop girl group', 'k-pop'}",False,2019-02-13,60,0.507,0.869,2,-2.245,0,0.0594,0.18,0.0,0.474,0.507,170.043,206819
What is Love? - Japanese ver.,1aHFbW8QF7LoJWcX0kPcrH,['TWICE'],"{'k-pop girl group', 'k-pop'}",False,2019-03-06,54,0.564,0.892,1,-1.84,1,0.0639,0.0501,0.0,0.234,0.637,169.939,208237
We Must Love,6rTqwu2cA2OMp0qAsHs1NH,['ONF'],"{'k-pop boy group', 'k-pop'}",False,2019-02-07,53,0.681,0.778,8,-4.402,1,0.08,0.0472,0.0,0.387,0.588,105.018,191338
Wind flower -Japanese ver.-,10I0ZeoK15YB41I6BLH1xe,['MAMAMOO'],"{'k-pop girl group', 'k-pop'}",False,2019-08-07,32,0.738,0.758,0,-3.861,1,0.0626,0.533,0.0,0.0648,0.749,113.921,235333
Likey,4P66rfizAl2nIJCICSMymC,['TWICE'],"{'k-pop girl group', 'k-pop'}",False,2017-10-30,70,0.722,0.903,4,-1.261,0,0.0331,0.42,0.000371,0.118,0.445,132.006,207813
Valkyrie,0oNFVyzwK6TFdFHSsD1dmC,['ONEUS'],"{'k-pop boy group', 'k-pop'}",False,2019-01-09,60,0.731,0.817,9,-3.906,0,0.121,0.0254,0.0,0.147,0.657,127.952,207586
Ring Ring Ring,4J7BrgAOT3jk0SC13FWzp6,['VERIVERY'],"{'k-pop boy group', 'k-pop'}",False,2019-01-09,42,0.791,0.944,2,-2.854,1,0.135,0.147,0.0,0.15,0.713,107.995,186364
July 7th,5NK2NHvmKLOn8V3eBYDaKm,['DREAMCATCHER'],"{'k-pop girl group', 'k-pop'}",False,2018-09-20,46,0.827,0.435,4,-5.514,0,0.0459,0.464,0.0,0.0671,0.671,144.036,194255
%%(Eung Eung),4SpQDJz1JiRT2mHxvyqN9K,['Apink'],"{'k-pop girl group', 'k-pop'}",False,2019-01-07,57,0.647,0.855,5,-2.944,0,0.037,0.294,0.0,0.137,0.683,144.867,208105
Gotta Go,0xq4ZTcmwBfkPGo4RRKmMe,['CHUNG HA'],{'k-pop'},False,2019-01-02,69,0.53,0.829,3,-2.526,0,0.0445,0.0741,0.0,0.0993,0.423,101.85,221813
Candle Light,6nUpdTLUSel3Zp6lhHZRbX,['NCT DREAM'],"{'k-pop boy group', 'k-pop'}",False,2018-12-27,57,0.556,0.819,8,-4.869,1,0.0541,0.0287,0.0,0.125,0.286,92.934,236536
Getting Closer,1w7Xbv3It3oI7dz4OrKazn,['SEVENTEEN'],"{'k-pop boy group', 'k-pop'}",False,2019-01-21,60,0.64,0.932,11,-4.138,0,0.123,0.0416,0.0,0.101,0.2,159.92,183580
This Winter,4raOR19WXie8o9VLuEPEaS,['Kwon Jin Ah'],"{'korean pop', 'k-indie', 'k-pop'}",False,2018-12-17,41,0.452,0.533,9,-6.453,1,0.0524,0.444,0.0,0.104,0.171,97.203,247644
