Post,Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
,5/23/2020,KEEMBO,Scandalous,,,Youtube,Girl,Major
,5/22/2020,Agust D,Daechwita,대취타,,Youtube,Boy Solo,Major
,5/21/2020,Yubin,yaya (Me Time),넵넵,,Youtube,Girl Solo,Major
,5/21/2020,OnlyOneOf,Angel (prod. GRAY),,,Youtube,Boy,Major
,5/21/2020,D-Crunch,Pierrot,,,Youtube,Boy,Major
,5/20/2020,Ryu Sujeong,Tiger Eyes,,,Youtube,Girl Solo,Major
,5/20/2020,Crush,Mayday feat. Joy (Red Velvet),자나깨나,,Youtube,Boy Solo,Major
Post,5/19/2020,NCT 127,Punch,,,Youtube,Boy,Major
Post,5/19/2020,SECRET NUMBER,Who Dis?,,,Youtube,Girl,Major
,5/18/2020,REDSQUARE,ColorFull,,,Youtube,Girl,Major
,5/18/2020,N.Flying,Amnesia,,,Youtube,Boy,Japanese
Post,5/18/2020,TXT,Can't You See Me?,"세계가 불타버린 밤, 우린...",,Youtube,Boy,Major
,5/15/2020,woo!ah!,woo!ah!,우아,,Youtube,Girl,Major
,5/15/2020,Oh My Girl,Dolphin,,,Youtube,Girl,Special
,5/14/2020,UNVS,Give You Up,,,Youtube,Boy,Major
,5/13/2020,Busters,Paeonia,피오니아,,Youtube,Girl,Major
,5/13/2020,BOL4,Hug,품,,Youtube,Girl,Major
,5/12/2020,BVNDIT,Jungle,정글,,Youtube,Girl,Major
,5/12/2020,"Baek Z Young, Ong Seongwu",didn't say anything,아무런 말들도,,Youtube,Co-ed,Special
Post,5/11/2020,NU'EST,I'm In Trouble,,,Youtube,Boy,Major
,5/11/2020,DAY6,Zombie,,,Youtube,Boy,Major
,5/7/2020,Moon Jongup,Headache feat. Yunhway,개화,,Youtube,Boy Solo,Major
,5/7/2020,Natty,Nineteen,,,Youtube,Girl Solo,Major
,5/7/2020,BOL4,Leo feat. Baekhyun,,,Youtube,Girl,Major
,5/6/2020,IU,eight feat. SUGA,에잇,,Youtube,Girl Solo,Major
,5/5/2020,2Z,Doctor,,,Youtube,Boy,Major
Post,5/4/2020,ASTRO,Knock,널 찾아가,,Youtube,Boy,Major
,5/4/2020,FANATICS,VAVI GIRL,,,Youtube,Girl,Major
,5/4/2020,Taeyeon,Happy,,,Youtube,Girl Solo,Major
Post,4/29/2020,NCT DREAM,Ridin',라이딘,,Youtube,Boy,Major
,4/29/2020,Bibi,Kazino,사장님 도박은 재미로 하셔야 합니다,Segaji Video,Youtube,Girl Solo,Major
,4/28/2020,HA:TFELT,Life Sucks,,,Youtube,Girl Solo,Major
,4/28/2020,Minseo,No Good Girl,,,Youtube,Girl Solo,Major
,4/28/2020,GWSN,Bazooka!,바주카,ZANYBROS,Youtube,Girl,Major
Post,4/27/2020,Oh My Girl,Nonstop,살짝 설렜어,,Youtube,Girl,Major
,4/27/2020,Chungha,Stay Tonight,,Rigend Film,Youtube,Girl Solo,Major
,4/26/2020,Noir,Lucifer,,,Youtube,Boy,Major
,4/26/2020,HA:TFELT,Solitude,,,Youtube,Girl Solo,Major
,4/26/2020,Ben,Bad,나쁜 놈,,Youtube,Girl Solo,Major
,4/23/2020,HA:TFELT,Satellite,,,Youtube,Girl Solo,Major
,4/23/2020,Solar,Spit it out,뱉어,,Youtube,Girl Solo,Major
,4/23/2020,ZICO X Kang Daniel,Refresh,,,Youtube,Boy,CF
Post,4/22/2020,APRIL,LALALILALA,라라리라라,,Youtube,Girl,Major
,4/22/2020,H&D,Good Night,,,Youtube,Boy,Minor
,4/21/2020,IMFACT,Lie,거짓말이야,,Youtube,Boy,Minor
,4/21/2020,HA:TFELT,Satellite (Feat. ASH ISLAND),,,Youtube,Girl Solo,Major
,4/21/2020,H&D,Soul,,,Youtube,Boy,Major
Post,4/20/2020,GOT7,Not By The Moon,,,Youtube,Boy,Major
,4/20/2020,BVNDIT,Children,,,Youtube,Girl,Minor
,4/18/2020,Zelo,She and Malibu,그녀와는 말리부,,Youtube,Boy Solo,Major
Post,4/17/2020,MONSTA X,YOU CAN'T HOLD MY HEART,,,Youtube,Boy,English
Post,4/14/2020,CRAVITY,Break All The Rules,,HIGHQUALITYFISH,Youtube,Boy,Major
Post,4/13/2020,Apink,Dumhdurum,덤더럼,VIKINGS LEAGUE,Youtube,Girl,Major
,4/13/2020,Girlkind,Future,퓨쳐,,Youtube,Girl,Major
,4/10/2020,KEEMBO,"Thank You, Anyway",,,Youtube,Girl,Major
,4/9/2020,WINNER,Remember,,,Youtube,Boy,Major
,4/9/2020,MCND,Spring,떠,,Youtube,Boy,Major
,4/9/2020,DALsooobin,Dive,다이브,,Youtube,Girl Solo,Major
,4/8/2020,UNVS,Solar Eclipse (feat room102),절대 모를거야,,Youtube,Boy,Major
,4/7/2020,Stella Jang,Villain,빌런,,Youtube,Girl Solo,Major
Post,4/6/2020,(G)I-DLE,Oh My God,오마이갓,Rigend Film,Youtube,Girl,Major
,4/6/2020,MAX Changmin,Chocolate,,,Youtube,Boy Solo,Major
Post,4/5/2020,cignature,ASSA,아싸,,Youtube,Girl,Major
,4/2/2020,Onewe,Q feat Hwasa,모르겠다고,,Youtube,Boy,Major
,4/1/2020,Hong Jinyoung,Love is like a petal,사랑은 꽃잎처럼,,Youtube,Girl Solo,Major
,3/31/2020,CIX,Revival,,,Youtube,Boy,Japanese
