Post,Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
,4/8/2018,NOIR,Gangsta,갱스타,,Youtube,Boy,Major
,4/7/2018,Girlkind,Broccoli,브로콜리,,Youtube,Girl,Minor
,4/7/2018,UNB,Feeling,감각,,Youtube,Boy,Major
,4/6/2018,Ten (NCT),New Heroes,뉴 히어로즈,,Youtube,Boy Solo,Special
,4/6/2018,GreatGuys,Ganda,간다,,Youtube,Boy,Major
,4/5/2018,Badkiz,Just One Day,딱 하루,,Youtube,Girl,Major
,4/5/2018,YDPP,Love It Live It,러빗리빗,,Youtube,Boy,Major
,4/4/2018,WINNER,EVERYDAY,에브리데이,,Youtube,Boy,Major
,4/3/2018,CLC,Distance,선,,Youtube,Girl,Minor
,4/3/2018,The Boyz,Giddy Up,기디 업,Naive,Youtube,Boy,Major
,4/3/2018,TVXQ!,Love Line,평행선,,Youtube,Boy,Major
,4/2/2018,Oh My Girl Banhana,Banana Allergy Monkey,바나나 알러지 원숭이,,Youtube,Girl,Major
,4/2/2018,EXID,Lady,내일해,,Youtube,Girl,Major
,4/2/2018,Pentagon,Shine,빛나리,,Youtube,Boy,Major
,4/1/2018,NCT U,YESTODAY,예스투데이,,Youtube,Boy,Major
,4/1/2018,Super Junior-D&E,Lose It,,,Youtube,Boy,Japanese
,4/1/2018,Gavy NJ,People Said Break It Up,헤어지래요,,Youtube,Girl,Major
Post,3/30/2018,Mamamoo,Everyday,매일봐요,,Youtube,Girl,Minor
,3/30/2018,Stray Kids,Grow Up,잘 하고 있어,,Youtube,Boy,Minor
,3/29/2018,LOONA,Egoist (Olivia Hye feat. Jinsoul),이고이스트,,Youtube,Girl,Major
,3/28/2018,Samuel,ONE feat. Jung Ilhoon,원,,Youtube,Boy Solo,Major
,3/28/2018,TVXQ!,The Chance Of Love,운명,,Youtube,Boy,Major
,3/27/2018,5tion,Love Takes Time,러브 테이크 타임,,Youtube,Boy,Major
,3/26/2018,Stray Kids,District 9,디스트릭트 나인,HIGHQUALITYFISH,Youtube,Boy,Major
,3/26/2018,MONSTA X,Jealousy,젤러시,,Youtube,Boy,Major
,3/25/2018,Shinhwa,All Your Dreams,올 유어 드림,,Youtube,Boy,Major
,3/21/2018,Honey Popcorn,Bibidi Babidi Boo,비비디바비디부,,Youtube,Girl,Major
,3/21/2018,SEVENTEEN,Just Do It (BSS),거침없이,,Youtube,Boy,Minor
,3/20/2018,B1A4,Aerumade,会えるまで,,Youtube,Boy,Japanese
,3/20/2018,SF9,Together,투게더,,Youtube,Boy,Minor
,3/19/2018,Wanna One,Boomerang,부메랑,,Youtube,Boy,Major
,3/17/2018,Tweety,Bad Boy,배드 보이,,Youtube,Girl,Major
,3/15/2018,FTISLAND,Hold The Moon,,,Youtube,Boy,Japanese
,3/15/2018,UP10TION,Candyland,캔디랜드,Naive,Youtube,Boy,Major
,3/14/2018,Hoya,Angel,앤젤,,Youtube,Boy Solo,Minor
,3/13/2018,NCT 127,Touch,터치,Kim 'Oui Kim' Seonguk,Youtube,Boy,Major
,3/13/2018,Golden Child,Lady,레이디,,Youtube,Boy,Major
,3/12/2018,Bubble X,Follow,팔로우,,Youtube,Girl,Major
,3/12/2018,GOT7,Look,룩,,Youtube,Boy,Major
,3/12/2018,APRIL,The Blue Bird,파랑새,Naive,Youtube,Girl,Major
,3/11/2018,HEYNE,Insomnia,잠이 오지 않아,,Youtube,Girl Solo,Major
,3/8/2018,U-KISS,No Regret,,,Youtube,Boy,Japanese
,3/8/2018,Marmello,Wake Me Up,웩미업,,Youtube,Girl,Major
,3/8/2018,ONF,Difficult,디피컬트,,Youtube,Boy,Minor
,3/8/2018,Heize,Didn't Know Me,내가 더 나빠,,Youtube,Girl Solo,Major
,3/8/2018,Heize,Jenga feat. Gaeko,젠가,,Youtube,Girl Solo,Major
,3/7/2018,ZZBae,Yoo Hoo Hoo~,유후후~,,Youtube,Girl,Major
,3/7/2018,Sojung (Ladies' Code),Stay Here,스테이 히어,,Youtube,Girl Solo,Major
Post,3/7/2018,Mamamoo,Starry Night,별이 빛나는 밤,,Youtube,Girl,Major
Post,3/6/2018,Mamamoo,Star Wind Flower Sun,별 바람 꽃 태양,,Youtube,Girl,Minor
,3/6/2018,MXM,Gone Cold,식어버린 온도,,Youtube,Boy,Major
,3/6/2018,j-hope,Airplane,에어플레인,,Youtube,Boy Solo,Minor
,3/5/2018,Noel,Our last day,그날의 너에게,,Youtube,Boy,Major
,3/5/2018,Wanna One,I.P.U,약속해요,,Youtube,Boy,Minor
,3/4/2018,NCT DREAM,GO,고,,Youtube,Boy,Major
,3/2/2018,AZM,Edge,엣지,,Youtube,Girl,Major
,3/1/2018,j-hope,Daydream,백일몽,,Youtube,Boy Solo,Major
,2/28/2018,Red Velvet,I Just,아이 저스트,,Youtube,Girl,Minor
,2/28/2018,Jeon Soyeon,Idle Song,아이들 쏭,,Youtube,Girl Solo,Minor
,2/27/2018,Sha Sha,You & Me,너와나,,Youtube,Girl,Major
,2/27/2018,Waeb,Go Away,,,Youtube,Boy,Major
Post,2/27/2018,WJSN,Dreams Come True,꿈꾸는 마음으로,,Youtube,Girl,Major
,2/26/2018,NCT U,Baby Don't Stop,베비돈스탑,,Youtube,Boy,Major
,2/26/2018,SF9,Mamma Mia,맘마미아,Purple Straw Film,Youtube,Boy,Major
,2/23/2018,"Trax, Lip2Shot",Notorious,,,Youtube,Boy,Major
,2/23/2018,I.C.E,Shameless,뻔뻔해,,Youtube,Girl,Major
Post,2/22/2018,CLC,Black Dress,블랙드레스,,Youtube,Girl,Major
,2/21/2018,Weki Meki,La La La,라라라,,Youtube,Girl,Major
,2/21/2018,VROMANCE,Star,별,,Youtube,Boy,Major
,2/20/2018,I.M (Monsta X),Fly With Me,플라이위드미,,Youtube,Boy Solo,Minor
,2/20/2018,BoA,"One Shot, Two Shot",원샷 투샷,,Youtube,Girl Solo,Major
,2/19/2018,Yang Yoseop,Where I Am Gone,네가 없는 곳,,Youtube,Boy Solo,Major
,2/18/2018,NCT U,BOSS,보스,,Youtube,Boy,Major
,2/18/2018,Boyfriend,Try My Wings,트라이 마이 윙스,,Youtube,Boy,Japanese
,2/15/2018,Kino (Pentagon),Lonely,론리,,Youtube,Boy Solo,Minor
,2/15/2018,N.tic,Once Again,원스 어게인,,Youtube,Boy,Major
,2/14/2018,Suzy,SObeR,소버,,Youtube,Girl Solo,Major
,2/13/2018,Park Boram,Will Be Fine,애쓰지 마요,,Youtube,Girl Solo,Major
,2/13/2018,The Eastlight,Valentines Day,발렌타인 데이,,Youtube,Boy,Major
,2/12/2018,Roy Kim,Only Then,그때 헤어지면 돼,,Youtube,Boy Solo,Major
,2/12/2018,Yang Yoseop,Star,별,,Youtube,Boy Solo,Major
,2/11/2018,Mighty Mouth,Uber,,,Youtube,Boy,Major
,2/10/2018,VAV,Gorgeous,예쁘다고,,Youtube,Boy,Major
,2/7/2018,Dynamic Duo,Bongjeseon,봉제선,,Youtube,Boy,Major
,2/7/2018,PLT,Blind,,,Youtube,Boy,Minor
,2/7/2018,"Naeun, Jinsol (APRIL)",My Story,내 이야기,,Youtube,Girl,Minor
,2/7/2018,Hong Jinyoung,Good Bye,잘가라,,Youtube,Girl Solo,Major
,2/6/2018,CoCoSoRi,Mi Amor,미아모르,,Youtube,Girl,Major
,2/6/2018,Hyolyn,To Do List,내일할래,,Youtube,Girl Solo,Major
,2/6/2018,MONSTA X,In Time,인타임,,Youtube,Boy,Minor
,2/5/2018,DAY6,If We Can Meet Again,If ～また逢えたら～,,Youtube,Boy,Japanese
,2/5/2018,SEVENTEEN,Thanks,고맙다,,Youtube,Boy,Major
,2/4/2018,100%,Song For You,송포유,,Youtube,Boy,Japanese
,2/3/2018,BLACKSIX,Alone,쓸쓸해,,Youtube,Boy,Minor
,2/2/2018,Henry,Monster,몬스터,,Youtube,Boy,English
,2/1/2018,Davichi,Just The Two Of Us,우리 둘,,Youtube,Girl,Major
,2/1/2018,gugudan,The Boots,더 부츠,Purple Straw Film,Youtube,Girl,Major
,2/1/2018,2000won,SSUL,썰,,Youtube,Boy,Major
,1/31/2018,Super Junior-D&E,If You,,,Youtube,Boy,Japanese
,1/31/2018,14U,Don't Be Pretty,예뻐지지마,,Youtube,Boy,Major
,1/31/2018,BoA,Nega Dola,내가 돌아,,Youtube,Girl Solo,Major
,1/31/2018,Soya,Show,쇼,,Youtube,Girl Solo,Major
,1/29/2018,Suzy,Holiday feat. DPR LIVE,홀리데이,VISUALSFROM.,Youtube,Girl Solo,Major
,1/29/2018,Risso,Alergy,알러지,,Youtube,Girl Solo,Minor
,1/29/2018,LOONA,One&Only (GoWon),원 앤 온리,,Youtube,Girl,Major
,1/29/2018,DEAN,instagram,인스타그램,,Youtube,Boy Solo,Major
,1/29/2018,Golden Child,It's You,너라고,,Youtube,Boy,Major
,1/29/2018,Red Velvet,Bad Boy,배드보이,Flexible Pictures,Youtube,Girl,Major
,1/28/2018,VAV,Spotlight,스팟라잇,,Youtube,Boy,Major
,1/25/2018,Davichi,Days Without You,너 없는 시간들,,Youtube,Girl,Major
,1/25/2018,iKON,Love Scenario,사랑을 했다,,Youtube,Boy,Major
,1/24/2018,fromis_9,To Heart,투하트,,Youtube,Girl,Major
,1/24/2018,Jeong Sewoon,Baby It's U,베이비잇츄,,Youtube,Boy Solo,Major
,1/24/2018,The Eastlight,Two Of Us,너와 둘이,,Youtube,Boy,Minor
,1/23/2018,Rainz,Turn It Up,턴 잇 업,,Youtube,Boy,Major
,1/23/2018,B1A4,Do You Remember,,,Youtube,Boy,Japanese
,1/23/2018,Target,Awake,어웨이크,,Youtube,Boy,Major
,1/23/2018,Jonghyun,Before Our Spring,우린 봄이 오기 전에,,Youtube,Boy Solo,Major
,1/22/2018,Jonghyun,Shinin',빛이 나,HIGHQUALITYFISH,Youtube,Boy Solo,Major
,1/22/2018,Ravi,Nirvana feat. Park Jimin,너바나,,Youtube,Boy Solo,Major
,1/22/2018,Suzy,In Love With Someone Else,다른사람을 사랑하고 있어,,Youtube,Girl Solo,Minor
,1/21/2018,HALO,Liar,,,Youtube,Boy,Japanese
,1/20/2018,UP10TION,Wild Love,,,Youtube,Boy,Japanese
,1/18/2018,Sunmi,Heroine,주인공,,Youtube,Girl Solo,Major
,1/18/2018,The Eastlight,Real Man,레알 남자,,Youtube,Boy,Major
,1/17/2018,Chungha,Roller Coaster,롤러코스터,,Youtube,Girl Solo,Major
,1/17/2018,JBJ,My Flower,꽃이야,,Youtube,Boy,Major
,1/16/2018,Girlkind,FANCI,팬시,,Youtube,Girl,Major
,1/15/2018,Stray Kids,Spread My Wings (Performance),어린 날개,,Youtube,Boy,Minor
,1/14/2018,Various,Shadow,,,Youtube,Girl,Major
,1/12/2018,NCT U,Timeless,텐데...,,Youtube,Boy,Minor
,1/11/2018,Weki Meki,Butterfly,,,Youtube,Girl,CF
,1/11/2018,Twice,Candy Pop,캔디팝,Naive,Youtube,Girl,Japanese
,1/10/2018,MXM,Diamond Girl,다이아몬드걸,,Youtube,Boy,Minor
,1/10/2018,Jo Kwon,Lonely,새벽,,Youtube,Boy Solo,Minor
Post,1/9/2018,Oh My Girl,Secret Garden,비밀정원,,Youtube,Girl,Major
,1/9/2018,MONSTA X,Spotlight,스포트라이트,,Youtube,Boy,Japanese
,1/8/2018,Infinite,Tell Me,텔미,,Youtube,Boy,Major
,1/8/2018,Block B,Don't Leave,떠나지마요,,Youtube,Boy,Major
,1/8/2018,Jang Wooyoung,Going Going,고잉고잉,,Youtube,Boy Solo,Minor
,1/7/2018,Stray Kids,Beware (Performance),총량의 법칙,,Youtube,Boy,Minor
,1/5/2018,Voisper,Missing U,꺼내보면,,Youtube,Boy,Major
,1/5/2018,Hint,Walkie Talkie,워키토키,,Youtube,Girl,Major
,1/4/2018,Live High,Yes,예스,,Youtube,Girl,Major
Post,1/4/2018,Mamamoo,Paint Me,칠해줘,,Youtube,Girl,Minor
,1/4/2018,5tion,Come Back,돌아와줘요,,Youtube,Boy,Major
,1/3/2018,N.Flying,Hot Potato,뜨거운 감자,,Youtube,Boy,Major
Post,1/3/2018,Momoland,BBoom BBoom,뿜뿜,,Youtube,Girl,Major
,1/2/2018,PLT,Blah,,,Youtube,Boy,Minor
,1/2/2018,TRCNG,Wolf Baby,울프베이비,,Youtube,Boy,Major
,1/2/2018,Drug Restaurant,Her,헐,,Youtube,Boy,Major
,12/28/2017,LOONA,Heart Attack (Chuu),하트 어택,Digipedi,Youtube,Girl,Major
,12/28/2017,Younha,Parade,퍼레이드,,Youtube,Girl Solo,Major
,12/27/2017,EXO,Universe,,,Youtube,Boy,Major
,12/26/2017,Super Junior-D&E,You Don't Go,,,Youtube,Boy,Japanese
,12/25/2017,1NB,"Winter, again",다시겨울,,Youtube,Girl,Minor
,12/23/2017,BoA,Jazzclub,재즈클럽,,Youtube,Girl Solo,Japanese
,12/23/2017,NU'EST W,Let Me Out,,,Youtube,Boy,OST
,12/22/2017,Twice,Merry & Happy,,Mustache Films,Youtube,Girl,Minor
,12/17/2017,Sha Sha,White Story,,,Youtube,Girl,Minor
,12/17/2017,Laysha,Pink Label,핑크라벨,,Youtube,Girl,Minor
,12/15/2017,NCT DREAM,Joy,조이,,Youtube,Boy,Minor
,12/14/2017,B.A.P,Hands Up,핸즈업,,Youtube,Boy,Major
,12/12/2017,Twice,Heart Shaker,하트 쉐이커,Naive,Youtube,Girl,Major
,12/7/2017,Mighty Mouth,Instagram,,,Youtube,Boy,Major
,12/6/2017,The Boyz,Boy,소년,Naive,Youtube,Boy,Major
,12/6/2017,KARD,Trust Me,,,Youtube,Co-ed,Minor
,12/6/2017,Snuper,Stand by me,,,Youtube,Boy,Japanese
,12/5/2017,DAY6,I Like You,좋아합니다,,Youtube,Boy,Major
,12/5/2017,EXO,Electric Kiss,,,Youtube,Boy,Japanese
,12/5/2017,Hyuna,Lip & Hip,립앤힙,,Youtube,Girl Solo,Major
,12/4/2017,ANYWAY,Follow You,팔로우 유,,Youtube,Boy,Minor
,11/29/2017,1NB,Where U at,쉽지않아,,Youtube,Girl,Minor
,11/29/2017,fromis_9,Glass Shoes,유리구두,,Youtube,Girl,Minor
,11/28/2017,LOONA,new (Yves),뉴,Digipedi,Youtube,Girl,Major
,11/27/2017,BLK,Hero,히어로,,Youtube,Boy,Major
,11/26/2017,Hey Men,Jelly,젤리,,Youtube,Boy,Minor
,11/26/2017,MAP6,Love Is Gone,러브이즈건,,Youtube,Boy,Major
,11/26/2017,Busters,La La La,랄랄라,Shindong,Youtube,Girl,Minor
,11/26/2017,MXM,Save The Rest,오늘은 여기까지,,Youtube,Boy,Minor
,11/26/2017,Busters,Dream On,내꿈꿔,Shindong,Youtube,Girl,Major
Post,11/24/2017,BTS,Mic Drop (Steve Aoki Remix),마이크드롭,Woogie Kim,Youtube,Boy,Major
,11/23/2017,Pentagon,Violet,바이올렛,,Youtube,Boy,Minor
,11/22/2017,Pentagon,Runaway,런어웨이,,Youtube,Boy,Major
,11/22/2017,Honeyst,Someone To Love,연애하고싶은데요,,Youtube,Boy,Major
,11/22/2017,Blah Blah,Good Job,참 잘했어요,,Youtube,Girl,Major
,11/21/2017,KARD,You In Me,유 인 미,Naive,Youtube,Co-ed,Major
,11/21/2017,ZZBae,Stress,스트레스,,Youtube,Girl,Major
,11/20/2017,Epik High,Lost One,개화,,Youtube,Boy,Minor
,11/19/2017,Heygirls,No (No One But You),너 아니면,,Youtube,Girl,Major
,11/17/2017,Red Velvet,Peek-A-Boo,피카부,FantazyLab,Youtube,Girl,Major
,11/17/2017,"Nell, Groovy Room",Today,오늘은,,Youtube,Boy,Major
,11/16/2017,Snuper,Dear,디어,,Youtube,Boy,Minor
,11/16/2017,Samuel,Candy,캔디,,Youtube,Boy Solo,Major
,11/15/2017,Fly To The Sky,Your Season,너의 계절,,Youtube,Boy,Major
,11/14/2017,Lovelyz,Twinkle,종소리,ZANYBROS,Youtube,Girl,Major
,11/13/2017,Wanna One,Beautiful,뷰티풀,,Youtube,Boy,Major
,11/13/2017,AshGray,Love No More,더는 사랑 안해,,Youtube,Boy,Major
,11/9/2017,VICTON,Remember Me,나를 기억해,,Youtube,Boy,Major
,11/8/2017,Urban Zakapa,When we were two,"그때의 나, 그때의 우리",,Youtube,Co-ed,Major
,11/8/2017,gugudan,Chococo,초코코,Digipedi,Youtube,Girl,Major
,11/7/2017,SF9,Let's Hang out,나랑 놀자,,Youtube,Boy,Minor
,11/7/2017,Block B,Shall We Dance,쉘 위 댄스,,Youtube,Boy,Major
,11/7/2017,MONSTA X,Dramarama,드라마라마,Vikings League,Youtube,Boy,Major
,11/7/2017,EXID,DDD,덜덜덜,Digipedi,Youtube,Girl,Major
,11/7/2017,Kim Sohee,Sobok Sobok feat. Yezi,소복소복,,Youtube,Girl Solo,Major
,11/6/2017,Super Junior,Black Suit,블랙수트,Rigid Film,Youtube,Boy,Major
,11/6/2017,SEVENTEEN,Clap,박수,,Youtube,Boy,Major
,11/6/2017,Sonamoo,I (knew it),아이,,Youtube,Girl,Major
,11/6/2017,Mamamoo,I Love Too,놓지않을게,,Youtube,Girl,Minor
,11/5/2017,Jeon Soyeon,Jelly,젤리,,Youtube,Girl Solo,Major
,11/5/2017,GeeGu,Chemical,케미컬,DOT,Youtube,Girl,Major
,11/5/2017,DAY6,All Alone,혼자야,Naive,Youtube,Boy,Major
,11/4/2017,Icia,Sad Heel,새드힐,,Youtube,Girl,Major
,11/3/2017,Minah,11°,11도,,Youtube,Girl Solo,Minor
,11/2/2017,Hyeongseop X Euiwoong,It Will Be Good,좋겠다,,Youtube,Boy,Major
,11/1/2017,ASTRO,Crazy Sexy Cool,니가 불어와,,Youtube,Boy,Major
,10/31/2017,Juniel,I Drink Alone,혼술,,Youtube,Girl Solo,Major
Post,10/31/2017,LOONA Odd Eye Circle,Sweet Crazy Love,스윗 크레이지 러브,Digipedi,Youtube,Girl,Major
,10/31/2017,Voisper,Save As,다른 이름으로 저장하기,,Youtube,Boy,Major
,10/31/2017,The Rose,Like We Used To,좋았는데,,Youtube,Boy,Major
Post,10/30/2017,Twice,Likey,라이키,Naive,Youtube,Girl,Major
,10/30/2017,GOT7,Turn Up,턴업,,Youtube,Boy,Japanese
,10/30/2017,Super Junior,One More Chance,비처럼 가지마요,Digipedi,Youtube,Boy,Minor
,10/29/2017,Gavy NJ,You Said You Were Happy,행복하댔잖아,,Youtube,Girl,Major
,10/28/2017,Playback,Want You To Say,말해줘,Naive,Youtube,Girl,Major
,10/27/2017,Apink,Orion,오리온,,Youtube,Girl,Japanese
,10/25/2017,IN2IT,Amazing,어메이징,,Youtube,Boy,Major
,10/24/2017,4Men,Break Up In The Morning,눈 떠보니 이별이더라,,Youtube,Boy,Major
,10/23/2017,Epik High,Home Is Far Away,빈차,,Youtube,Boy,Major
,10/23/2017,Epik High,Love Story,연애소설,,Youtube,Boy,Major
,10/22/2017,Marmello,Can't Stop,,,Youtube,Girl,Major
,10/18/2017,A.C.E,Callin',콜링,,Youtube,Boy,Major
,10/18/2017,JBJ,Fantasy,판타지,,Youtube,Boy,Major
,10/16/2017,Taemin,Move,무브,HIGHQUALITYFISH,Youtube,Boy Solo,Major
,10/16/2017,BtoB,Missing You,그리워하다,,Youtube,Boy,Major
,10/16/2017,Highlight,Can Be Better,어쩔 수 없지 뭐,,Youtube,Boy,Major
,10/15/2017,SEVENTEEN,Pinwheel,바람개비,,Youtube,Boy,Minor
,10/12/2017,DIA,Good Night,굿밤,,Youtube,Girl,Major
,10/12/2017,HA:TFELT,I Wander feat. Gaeko,새 신발,,Youtube,Girl Solo,Major
,10/12/2017,UP10TION,Going Crazy,미치게 해,,Youtube,Boy,Major
,10/12/2017,MASC,Do It,다해,,Youtube,Boy,Major
,10/12/2017,Varsity,Can You Come Out Now,지금 나올래,,Youtube,Boy,Major
,10/12/2017,SF9,O Sole Mio,오솔레미오,,Youtube,Boy,Major
,10/12/2017,Rainz,Juliette,레인즈,,Youtube,Boy,Major
,10/12/2017,Block B,My Zone,마이존,,Youtube,Boy,CF
,10/11/2017,Davichi,To Me,나에게 넌,,Youtube,Girl,Major
,10/11/2017,MASC,Run To You,정주행,,Youtube,Boy,Minor
,10/11/2017,Jang Wooyoung,It's The Same,똑같지 뭐,,Youtube,Boy Solo,Minor
,10/11/2017,Hi Cutie,Play U,플레이유,,Youtube,Girl,Major
,10/10/2017,HashTag,Hue,ㅇㅇ,,Youtube,Girl,Major
,10/10/2017,TRCNG,Spectrum,스펙트럼,,Youtube,Boy,Major
,10/10/2017,GOT7,You Are,유아,,Youtube,Boy,Major
,10/10/2017,NU'EST W,Where You At,웨어 유 앳,,Youtube,Boy,Major
,10/8/2017,SEVENTEEN,Lilili Yabbay,13월의 춤,,Youtube,Boy,Minor
,10/6/2017,Stray Kids,Hellevator,헬리베이터,AR FILM,Youtube,Boy,Major
Post,10/5/2017,Twice,One More Time,원 모어 타임,,Youtube,Girl,Japanese
,10/1/2017,SEVENTEEN,Trauma,,,Youtube,Boy,Minor
,9/30/2017,U-KISS,Fly,,,Youtube,Boy,Japanese
,9/28/2017,A-seed,It's Crazy,미치겠지,,Youtube,Girl,Minor
,9/28/2017,DAY6,When You Love Someone,그렇더라고요,,Youtube,Boy,Major
,9/28/2017,Bolbbalgan4,Some,썸 탈꺼야,,Youtube,Girl,Major
,9/28/2017,Bolbbalgan4,Fix Me,고쳐주세요,,Youtube,Girl,Major
,9/28/2017,Bolbbalgan4,Imagine,상상,,Youtube,Girl,Major
,9/28/2017,Bolbbalgan4,Blue,블루,,Youtube,Girl,Minor
Post,9/25/2017,B1A4,Rollin',롤린,,Youtube,Boy,Major
,9/25/2017,Lay,I Need U,아이 니드 유,,Youtube,Boy Solo,Major
,9/24/2017,SEVENTEEN,Change Up,,,Youtube,Boy,Minor
,9/22/2017,IU,Sleepless Rainy Night,잠 못 드는 밤 비는 내리고,,Youtube,Girl Solo,Special
,9/21/2017,SECHSKIES,Smile,웃어줘,,Youtube,Boy,Major
,9/21/2017,SECHSKIES,Something Special,특별해,,Youtube,Boy,Major
,9/20/2017,CNBLUE,Starting Over,,,Youtube,Boy,Japanese
Post,9/20/2017,LOONA Odd Eye Circle,Girl Front,걸 프론트,Digipedi,Youtube,Girl,Major
,9/20/2017,APRIL,Take My Hand,손을 잡아줘,ZANYBROS,Youtube,Girl,Major
,9/19/2017,Rania,Breathe Heavy,브리드헤비,,Youtube,Girl,Minor
Post,9/18/2017,BTS,DNA,디엔에이,Lumpens,Youtube,Boy,Major
Posts,9/13/2017,GFRIEND,Summer Rain,여름비,,Youtube,Girl,Major
,9/12/2017,D.I.P,A Likely Night,될 것 같은 밤,,Youtube,Boy,Major
,9/12/2017,ELRIS,Pow Pow,파우파우,,Youtube,Girl,Major
,9/8/2017,VIXX,La La La ~Aiwo Arigatou~,ラララ ～愛をありがとう～,,Youtube,Boy,Japanese
,9/6/2017,Pentagon,Like This,라익 디스,,Youtube,Boy,Major
,9/6/2017,MXM,I'm The One,,,Youtube,Boy,Major
Post,9/5/2017,EXO,Power,파워,,Youtube,Boy,Major
,9/5/2017,B.A.P,Honeymoon,허니문,ZANYBROS,Youtube,Boy,Major
,9/5/2017,DAY6,I Loved You,,,Youtube,Boy,Major
,9/4/2017,The Singing Girls,I Like,좋아요,,Youtube,Girl,Major
,9/3/2017,BLACK6IX,Like A Flower,라이크 어 플라워,,Youtube,Boy,Major
,9/1/2017,IM,Sad Story,미치겠어,,Youtube,Boy,Major
,8/31/2017,A.De,Laputa (Kiss In The Sky),라퓨타,,Youtube,Girl,Major
,8/31/2017,IZ,All You Want,다해,,Youtube,Boy,Major
,8/30/2017,Good Day,Rolly,롤리,,Youtube,Girl,Major
,8/29/2017,Hyuna,Babe,베베,,Youtube,Girl Solo,Major
,8/28/2017,Golden Child,DamDaDi,담다디,,Youtube,Boy,Major
,8/28/2017,VIXX LR,Whisper,속삭임,,Youtube,Boy,Major
,8/28/2017,Flashe,Popping,팝핑,,Youtube,Girl,Major
,8/27/2017,Rania,Beep Beep Beep,빕빕빕,,Youtube,Girl,Major
,8/25/2017,Hur Youngji,Memory Clock,추억시계,,Youtube,Girl Solo,Minor
,8/25/2017,S.I.S,I've Got A Feeling,느낌이 와,,Youtube,Girl,Major
,8/25/2017,GreatGuys,Last Men,라스트맨,,Youtube,Boy,Major
,8/25/2017,Heize,In the Time Spent With You,너와 함께한 시간 속에서,,Youtube,Girl Solo,Minor
,8/25/2017,Highteen,Would You,우주,,Youtube,Girl,Minor
,8/24/2017,GreatGuys,Last Men,라스트맨,,Youtube,Boy,Major
Post,8/23/2017,Pristin,We Like,위 라이크,,Youtube,Girl,Major
,8/23/2017,VICTON,Unbelievable,말도 안돼,,Youtube,Boy,Major
,8/23/2017,MiSo,Pink Lady,핑크레이디,,Youtube,Girl Solo,Major
,8/22/2017,Momoland,Freeze,꼼짝마,,Youtube,Girl,Major
,8/22/2017,DIA,Can't Stop,듣고싶어,,Youtube,Girl,Major
,8/21/2017,Sunmi,Gashina,가시나,,Youtube,Girl Solo,Major
,8/21/2017,BtoB,Brand new days~Whatever future~,Brand new days ～どんな未来を～,,Youtube,Boy,Japanese
,8/18/2017,Red Velvet,Rebirth,환생,Shindong,Youtube,Girl,Minor
,8/17/2017,NCT DREAM,We Young,위 영,,Youtube,Boy,Major
,8/16/2017,SF9,Hide and Seek,머리카락 보일라,,Youtube,Boy,Minor
,8/16/2017,Taeyang,Darling,달링,,Youtube,Boy Solo,Major
,8/16/2017,Taeyang,Wake Me Up,웩 미 업,,Youtube,Boy Solo,Major
,8/15/2017,H.B.Y,Vroom Vroom,부릉부릉,,Youtube,Boy,Major
,8/14/2017,Sonamoo,Friday Night,금요일밤,,Youtube,Girl,Major
,8/11/2017,Gugudan OGUOGU,ICE CHU,아이스츄,,Youtube,Girl,Major
,8/10/2017,UP10TION,Everything,,,Youtube,Boy,Minor
,8/10/2017,Wanna One,Burn It Up,활활,,Youtube,Boy,Minor
,8/9/2017,Boyfriend,Star,스타,,Youtube,Boy,Major
,8/9/2017,Jessica,Summer Storm,섬머스톰,Naive,Youtube,Girl Solo,Major
,8/8/2017,Weki Meki,I Don't Like Your Girlfriend,아이 돈 라이크 유어 걸프렌드,,Youtube,Girl,Major
,8/8/2017,Juniel,Last Carnival,라스트 카니발,,Youtube,Girl Solo,Major
,8/7/2017,DAY6,What Can I Do,좋은걸 뭐 어떡해,,Youtube,Boy,Major
,8/7/2017,Wanna One,Energetic,에너제틱,,Youtube,Boy,Major
,8/7/2017,BLANC7,Hello,헬로,,Youtube,Boy,Major
,8/4/2017,Girls' Generation,Holiday,홀리데이,,Youtube,Girl,Major
,8/4/2017,Girls' Generation,All Night,올나이트,,Youtube,Girl,Major
,8/4/2017,Drug Restaurant,Drink O2 in the water,드링크 오투 인 더 워터,,Youtube,Boy,Major
,8/4/2017,WINNER,Love Me Love Me,럽미럽미,Kim 'Oui Kim' Seonguk,Youtube,Boy,Major
,8/4/2017,WINNER,Island,아일랜드,Jinooya,Youtube,Boy,Major
,8/3/2017,Tritops,Zinnia,백일홍,,Youtube,Boy,Major
,8/3/2017,CLC,Where Are You?,어디야,,Youtube,Girl,Major
,8/3/2017,9MUSES,Love City,러브시티,ZANYBROS,Youtube,Girl,Major
,8/2/2017,Samuel,Sixteen feat. Changmo,식스틴,,Youtube,Boy Solo,Major
,8/2/2017,N.Flying,The Real,진짜가 나타났다,,Youtube,Boy,Major
,8/2/2017,ONF,ON/OFF,온오프,,Youtube,Boy,Major
,8/2/2017,The Rose,Sorry,,,Youtube,Boy,Major
,8/1/2017,GFRIEND,Love Whisper,귀를 기울이면,ZANYBROS,Youtube,Girl,Major
,8/1/2017,Apple.B,Woochuchu,우쭈쭈,,Youtube,Girl,Major
